textboxDate.text,textboxElectronicSignature.text,textboxAge.text,textboxInitials.text,sliderViewConditions.response,sliderColorScientist.response,sliderCVD.response,sliderGenderIdentification.response,mouseResponse.x,mouseResponse.y,mouseResponse.leftButton,mouseResponse.midButton,mouseResponse.rightButton,mouseResponse.time,mouseResponse.clicked_name,mouseResponseLocation,choiceColor,choiceIndex,trialsStimuli.thisRepN,trialsStimuli.thisTrialN,trialsStimuli.thisN,trialsStimuli.thisIndex,trialsStimuli.ran,File_Name,color1,color2,color3,color4,color5,color6,color7,color8,Question,,date,expName,psychopyVersion,OS,frameRate,participant,trialsBlock.thisRepN,trialsBlock.thisTrialN,trialsBlock.thisN,trialsBlock.thisIndex,trialsBlock.ran,cond_file
3/3/2022,9488962285266D95DB34CFBA4CE7B38B35529419,20,,2,2,2,1,0.027777778,0.18,1,0,0,6.163,secondChoice,1,"0.50196, 0.52941, 0.19608",1,0,0,0,1,1,resources/test_tomato_green.png,"0.50196, 0.52941, 0.19608","0.57255, 0.58431, 0.12549","0.53942, 0.56976, 0.20711","0.6093, 0.62259, 0.12696","0.68627, 0.71373, 0.26667","0.4549, 0.49412, 0.11765","0.61961, 0.64314, 0.26667","0.37647, 0.41569, 0.12941",What is the color of the previous image?,,2022-03-03_19h07.02.869,Representative Color,2021.2.3,MacIntel,71.42857143,3214,,,,,,
,,,,,,,,0.157777778,-0.091111111,1,0,0,4.931,sixthChoice,5,"0.26275, 0.46667, 0.76863",1,0,1,1,2,1,resources/test_sky.png,"0.26275, 0.46667, 0.76863","0.2, 0.35686, 0.6902","0.27689, 0.50341, 0.83205","0.21961, 0.41176, 0.72157","0.2415, 0.43907, 0.74504","0.21025, 0.38424, 0.70588","0.35291, 0.58434, 0.85098","0.42745, 0.60784, 0.84314",What is the color of the previous image?,,2022-03-03_19h07.02.869,Representative Color,2021.2.3,MacIntel,71.42857143,3214,,,,,,
,,,,,,,,0.185555556,0.04,1,0,0,2.515,fourthChoice,3,"0.6, 0.043137, 0.035294",2,0,2,2,0,1,resources/test_wine.png,"0.40784, 0.070588, 0.070588","0.6, 0.043137, 0.035294","0.44887, 0.066156, 0.074042","0.49412, 0.090196, 0.062745","0.53725, 0.011765, 0.0078431","0.30196, 0.066667, 0.062745","0.35427, 0.069613, 0.067232","0.41756, 0.054997, 0.039926",What is the color of the previous image?,,2022-03-03_19h07.02.869,Representative Color,2021.2.3,MacIntel,71.42857143,3214,,,,,,
,,,,,,,,0.185555556,0.04,1,0,0,2.831,fourthChoice,3,"0.88235, 0.33333, 0.21176",4,0,3,3,3,1,resources/test_tomato_red.png,"0.80784, 0.27451, 0.18431","0.84314, 0.21961, 0.10196","0.86089, 0.28874, 0.19361","0.88235, 0.33333, 0.21176","0.74118, 0.22745, 0.16863","0.79608, 0.21569, 0.12941","0.77439, 0.25104, 0.17647","0.85235, 0.25555, 0.14958",What is the color of the tomato in the previous image?,,2022-03-03_19h07.02.869,Representative Color,2021.2.3,MacIntel,71.42857143,3214,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03_19h07.02.869,Representative Color,2021.2.3,MacIntel,71.42857143,3214,0,0,0,0,1,resources/training.xlsx
,,,,,,,,0.155555556,0.03,1,0,0,1.28,fourthChoice,3,"0.33333, 0.019608, 0.031373",6,0,0,0,2,1,resources/t1DSC_0025.png,"0.39608, 0.058824, 0.070588","0.21431, 0.034629, 0.057098","0.43656, 0.051112, 0.07439","0.51373, 0.35294, 0.40784","0.21961, 0.086275, 0.12549","0.33333, 0.019608, 0.031373","0.36078, 0.26667, 0.32157","0.48235, 0.22745, 0.26275",What is the color of the previous image?,,2022-03-03_19h07.02.869,Representative Color,2021.2.3,MacIntel,71.42857143,3214,,,,,,
,,,,,,,,-0.13,0.034444444,1,0,0,2.865,thirdChoice,2,"0.38431, 0.14902, 0.047059",4,0,1,1,9,1,resources/t1Model-O.png,"0.31765, 0.15686, 0.090196","0.36342, 0.17598, 0.098248","0.55928, 0.25965, 0.13367","0.38431, 0.14902, 0.047059","0.22745, 0.098039, 0.05098","0.27161, 0.12707, 0.072951","0.41066, 0.19954, 0.10607","0.30444, 0.12352, 0.051246",What is the color of the previous image?,,2022-03-03_19h07.02.869,Representative Color,2021.2.3,MacIntel,71.42857143,3214,,,,,,
,,,,,,,,0.075555556,-0.133333333,1,0,0,2.516,eighthChoice,7,"0.72941, 0.52157, 0.4",1,0,2,2,12,1,resources/t1Model-Y.png,"0.72941, 0.52157, 0.4","0.78972, 0.56355, 0.43105","0.64714, 0.32317, 0.22415","0.62353, 0.34902, 0.22353","0.59216, 0.29804, 0.20784","0.6902, 0.47843, 0.36471","0.80392, 0.60392, 0.49412","0.60784, 0.39216, 0.26275",What is the color of the previous image?,,2022-03-03_19h07.02.869,Representative Color,2021.2.3,MacIntel,71.42857143,3214,,,,,,
,,,,,,,,-0.182222222,0.053333333,1,0,0,4.648,thirdChoice,2,"0.54902, 0.27843, 0.15686",2,0,3,3,11,1,resources/t1Model-R.png,"0.56863, 0.34902, 0.22353","0.54902, 0.27843, 0.15686","0.62375, 0.38114, 0.24213","0.60078, 0.30229, 0.16803","0.48235, 0.24314, 0.13333","0.65098, 0.41176, 0.28235","0.49412, 0.28627, 0.16471","0.54118, 0.31373, 0.19216",What is the color of the previous image?,,2022-03-03_19h07.02.869,Representative Color,2021.2.3,MacIntel,71.42857143,3214,,,,,,
,,,,,,,,-0.146666667,-0.031111111,1,0,0,4.015,fifthChoice,4,"0.79859, 0.58507, 0.48676",2,0,4,4,4,1,resources/t1Model-B.png,"0.73725, 0.54118, 0.45098","0.79859, 0.58507, 0.48676","0.72531, 0.40323, 0.30464","0.71373, 0.40784, 0.36078","0.8, 0.48235, 0.4","0.68235, 0.44314, 0.33333","0.64706, 0.45882, 0.36471","0.71765, 0.49804, 0.41176",What is the color of the previous image?,,2022-03-03_19h07.02.869,Representative Color,2021.2.3,MacIntel,71.42857143,3214,,,,,,
,,,,,,,,-0.041111111,-0.175555556,1,0,0,1.399,seventhChoice,6,"0.66488, 0.37758, 0.19682",3,0,5,5,7,1,resources/t1Model-LC.png,"0.73725, 0.52941, 0.38431","0.79679, 0.57109, 0.41322","0.66488, 0.37758, 0.19682","0.58431, 0.32157, 0.18431","0.61176, 0.34902, 0.18431","0.68627, 0.47059, 0.32941","0.81569, 0.61176, 0.47843","0.63529, 0.42353, 0.27451",What is the color of the previous image?,,2022-03-03_19h07.02.869,Representative Color,2021.2.3,MacIntel,71.42857143,3214,,,,,,
,,,,,,,,0.082222222,-0.17,1,0,0,2.198,eighthChoice,7,"0.33318, 0.45547, 0.20282",3,0,6,6,19,1,resources/t1zgrass.png,"0.30588, 0.41569, 0.18824","0.36341, 0.42546, 0.21823","0.33318, 0.45547, 0.20282","0.32157, 0.38039, 0.19216","0.27231, 0.37211, 0.15269","0.31422, 0.39807, 0.19031","0.34895, 0.44055, 0.21071","0.28046, 0.35484, 0.15506",What is the color of the previous image?,,2022-03-03_19h07.02.869,Representative Color,2021.2.3,MacIntel,71.42857143,3214,,,,,,
,,,,,,,,0.168888889,-0.057777778,1,0,0,2.698,sixthChoice,5,"0.37836, 0.0080068, 0.055199",3,0,7,7,1,1,resources/t1DSC_0021.png,"0.16863, 0.027451, 0.035294","0.34118, 0.023529, 0.05098","0.37836, 0.0080068, 0.055199","0.37255, 0.12157, 0.18431","0.34902, 0.043137, 0.094118","0.41569, 0.23529, 0.29804","0.21569, 0.0078431, 0.019608","0.44314, 0.16863, 0.21961",What is the color of the previous image?,,2022-03-03_19h07.02.869,Representative Color,2021.2.3,MacIntel,71.42857143,3214,,,,,,
,,,,,,,,0.165555556,-0.058888889,1,0,0,2.798,sixthChoice,5,"0.52414, 0.27049, 0.13884",2,0,8,8,5,1,resources/t1Model-J.png,"0.74118, 0.41961, 0.23529","0.52414, 0.27049, 0.13884","0.79714, 0.44966, 0.25005","0.63529, 0.38824, 0.21569","0.70588, 0.43922, 0.2549","0.64314, 0.33725, 0.18431","0.56863, 0.32157, 0.19216","0.4549, 0.23137, 0.12157",What is the color of the previous image?,,2022-03-03_19h07.02.869,Representative Color,2021.2.3,MacIntel,71.42857143,3214,,,,,,
,,,,,,,,0.081111111,-0.161111111,1,0,0,2.15,eighthChoice,7,"0.60784, 0.52941, 0.18824",7,0,9,9,15,1,resources/t1green22days1_hdrOff.png,"0.68235, 0.57255, 0.20784","0.72549, 0.62353, 0.15686","0.76987, 0.66176, 0.16087","0.82745, 0.62745, 0.21569","0.70588, 0.53725, 0.12549","0.7451, 0.66275, 0.27451","0.60784, 0.52941, 0.18824","0.65098, 0.51373, 0.18824",What is the color of the previous image?,,2022-03-03_19h07.02.869,Representative Color,2021.2.3,MacIntel,71.42857143,3214,,,,,,
,,,,,,,,-0.07,0.172222222,1,0,0,3.432,firstChoice,0,"0.47843, 0.25098, 0.13333",5,0,10,10,6,1,resources/t1Model-L.png,"0.52549, 0.2902, 0.16471","0.61569, 0.30588, 0.18039","0.57757, 0.31686, 0.1774","0.66902, 0.33001, 0.19272","0.47843, 0.25098, 0.13333","0.65882, 0.4, 0.25882","0.61176, 0.36078, 0.23137","0.41961, 0.20784, 0.094118",What is the color of the previous image?,,2022-03-03_19h07.02.869,Representative Color,2021.2.3,MacIntel,71.42857143,3214,,,,,,
