textboxDate.text,textboxElectronicSignature.text,textboxAge.text,textboxInitials.text,sliderViewConditions.response,sliderColorScientist.response,sliderCVD.response,sliderGenderIdentification.response,mouseResponse.x,mouseResponse.y,mouseResponse.leftButton,mouseResponse.midButton,mouseResponse.rightButton,mouseResponse.time,mouseResponse.clicked_name,mouseResponseLocation,choiceColor,choiceIndex,trialsStimuli.thisRepN,trialsStimuli.thisTrialN,trialsStimuli.thisN,trialsStimuli.thisIndex,trialsStimuli.ran,File_Name,color1,color2,color3,color4,color5,color6,color7,color8,Question,date,expName,psychopyVersion,OS,frameRate,trialsBlock.thisRepN,trialsBlock.thisTrialN,trialsBlock.thisN,trialsBlock.thisIndex,trialsBlock.ran,cond_file
3/4/2022,886814CD79BFAD7A512267E97F372BDEBFFB92A9,,,2,1,2,2,-0.178571429,-0.06875,1,0,0,1.346,fifthChoice,4,"0.88235, 0.33333, 0.21176",4,0,0,0,3,1,resources/test_tomato_red.png,"0.80784, 0.27451, 0.18431","0.84314, 0.21961, 0.10196","0.86089, 0.28874, 0.19361","0.88235, 0.33333, 0.21176","0.74118, 0.22745, 0.16863","0.79608, 0.21569, 0.12941","0.77439, 0.25104, 0.17647","0.85235, 0.25555, 0.14958",What is the color of the tomato in the previous image?,2022-03-04_11h12.19.049,Representative Color,2021.2.3,MacIntel,38.46153846,,,,,,
,,,,,,,,-0.058035714,0.14375,1,0,0,1.728,firstChoice,0,"0.27689, 0.50341, 0.83205",3,0,1,1,2,1,resources/test_sky.png,"0.26275, 0.46667, 0.76863","0.2, 0.35686, 0.6902","0.27689, 0.50341, 0.83205","0.21961, 0.41176, 0.72157","0.2415, 0.43907, 0.74504","0.21025, 0.38424, 0.70588","0.35291, 0.58434, 0.85098","0.42745, 0.60784, 0.84314",What is the color of the previous image?,2022-03-04_11h12.19.049,Representative Color,2021.2.3,MacIntel,38.46153846,,,,,,
,,,,,,,,0.055357143,0.169642857,1,0,0,1.796,secondChoice,1,"0.50196, 0.52941, 0.19608",1,0,2,2,1,1,resources/test_tomato_green.png,"0.50196, 0.52941, 0.19608","0.57255, 0.58431, 0.12549","0.53942, 0.56976, 0.20711","0.6093, 0.62259, 0.12696","0.68627, 0.71373, 0.26667","0.4549, 0.49412, 0.11765","0.61961, 0.64314, 0.26667","0.37647, 0.41569, 0.12941",What is the color of the previous image?,2022-03-04_11h12.19.049,Representative Color,2021.2.3,MacIntel,38.46153846,,,,,,
,,,,,,,,0.171428571,0.051785714,1,0,0,3.076,fourthChoice,3,"0.6, 0.043137, 0.035294",2,0,3,3,0,1,resources/test_wine.png,"0.40784, 0.070588, 0.070588","0.6, 0.043137, 0.035294","0.44887, 0.066156, 0.074042","0.49412, 0.090196, 0.062745","0.53725, 0.011765, 0.0078431","0.30196, 0.066667, 0.062745","0.35427, 0.069613, 0.067232","0.41756, 0.054997, 0.039926",What is the color of the previous image?,2022-03-04_11h12.19.049,Representative Color,2021.2.3,MacIntel,38.46153846,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-04_11h12.19.049,Representative Color,2021.2.3,MacIntel,38.46153846,0,0,0,0,1,resources/training.xlsx
,,,,,,,,-0.15625,0.040178571,1,0,0,1.991,thirdChoice,2,"0.60392, 0.59216, 0.50196",4,0,0,0,0,1,resources/t1DSC_0016.png,"0.6, 0.58039, 0.4549","0.6564, 0.64356, 0.5619","0.65167, 0.63033, 0.49287","0.60392, 0.59216, 0.50196","0.60392, 0.60392, 0.55686","0.62839, 0.6118, 0.50808","0.62574, 0.60526, 0.47382","0.60418, 0.59802, 0.5294",What is the color of the previous image?,2022-03-04_11h12.19.049,Representative Color,2021.2.3,MacIntel,38.46153846,,,,,,
,,,,,,,,-0.05,0.15625,1,0,0,2.78,firstChoice,0,"0.33333, 0.019608, 0.031373",6,0,1,1,2,1,resources/t1DSC_0025.png,"0.39608, 0.058824, 0.070588","0.21431, 0.034629, 0.057098","0.43656, 0.051112, 0.07439","0.51373, 0.35294, 0.40784","0.21961, 0.086275, 0.12549","0.33333, 0.019608, 0.031373","0.36078, 0.26667, 0.32157","0.48235, 0.22745, 0.26275",What is the color of the previous image?,2022-03-04_11h12.19.049,Representative Color,2021.2.3,MacIntel,38.46153846,,,,,,
,,,,,,,,0.158035714,0.03125,1,0,0,1.745,fourthChoice,3,"0.36342, 0.17598, 0.098248",2,0,2,2,9,1,resources/t1Model-O.png,"0.31765, 0.15686, 0.090196","0.36342, 0.17598, 0.098248","0.55928, 0.25965, 0.13367","0.38431, 0.14902, 0.047059","0.22745, 0.098039, 0.05098","0.27161, 0.12707, 0.072951","0.41066, 0.19954, 0.10607","0.30444, 0.12352, 0.051246",What is the color of the previous image?,2022-03-04_11h12.19.049,Representative Color,2021.2.3,MacIntel,38.46153846,,,,,,
,,,,,,,,-0.14375,0.057142857,1,0,0,0.973,thirdChoice,2,"0.77255, 0.29804, 0.07451",4,0,3,3,16,1,resources/t1mysteryLightOr_hdrOff.png,"0.81569, 0.43922, 0.22353","0.8714, 0.46756, 0.23566","0.91794, 0.40919, 0.093393","0.77255, 0.29804, 0.07451","0.9098, 0.55294, 0.30196","0.88627, 0.50196, 0.23922","0.72941, 0.36471, 0.19608","0.81569, 0.36863, 0.13333",What is the color of the previous image?,2022-03-04_11h12.19.049,Representative Color,2021.2.3,MacIntel,38.46153846,,,,,,
,,,,,,,,0.069642857,0.1625,1,0,0,1.397,secondChoice,1,"0.37942, 0.51262, 0.16068",3,0,4,4,17,1,resources/t1zpeppers.png,"0.35294, 0.47451, 0.15294","0.48235, 0.63529, 0.13725","0.37942, 0.51262, 0.16068","0.5104, 0.6743, 0.13948","0.41176, 0.59216, 0.11373","0.417, 0.55383, 0.14817","0.38255, 0.53277, 0.1372","0.44713, 0.61369, 0.1255",What is the color of the previous image?,2022-03-04_11h12.19.049,Representative Color,2021.2.3,MacIntel,38.46153846,,,,,,
,,,,,,,,0.175,-0.066071429,1,0,0,1.731,sixthChoice,5,"0.57757, 0.31686, 0.1774",3,0,5,5,6,1,resources/t1Model-L.png,"0.52549, 0.2902, 0.16471","0.61569, 0.30588, 0.18039","0.57757, 0.31686, 0.1774","0.66902, 0.33001, 0.19272","0.47843, 0.25098, 0.13333","0.65882, 0.4, 0.25882","0.61176, 0.36078, 0.23137","0.41961, 0.20784, 0.094118",What is the color of the previous image?,2022-03-04_11h12.19.049,Representative Color,2021.2.3,MacIntel,38.46153846,,,,,,
,,,,,,,,-0.200892857,-0.039285714,1,0,0,3.264,fifthChoice,4,"0.73725, 0.54118, 0.45098",1,0,6,6,4,1,resources/t1Model-B.png,"0.73725, 0.54118, 0.45098","0.79859, 0.58507, 0.48676","0.72531, 0.40323, 0.30464","0.71373, 0.40784, 0.36078","0.8, 0.48235, 0.4","0.68235, 0.44314, 0.33333","0.64706, 0.45882, 0.36471","0.71765, 0.49804, 0.41176",What is the color of the previous image?,2022-03-04_11h12.19.049,Representative Color,2021.2.3,MacIntel,38.46153846,,,,,,
,,,,,,,,0.15,-0.078571429,1,0,0,1.565,sixthChoice,5,"0.65098, 0.41176, 0.28235",6,0,7,7,11,1,resources/t1Model-R.png,"0.56863, 0.34902, 0.22353","0.54902, 0.27843, 0.15686","0.62375, 0.38114, 0.24213","0.60078, 0.30229, 0.16803","0.48235, 0.24314, 0.13333","0.65098, 0.41176, 0.28235","0.49412, 0.28627, 0.16471","0.54118, 0.31373, 0.19216",What is the color of the previous image?,2022-03-04_11h12.19.049,Representative Color,2021.2.3,MacIntel,38.46153846,,,,,,
,,,,,,,,0.185714286,0.048214286,1,0,0,1.393,fourthChoice,3,"0.6843, 0.46832, 0.35448",5,0,8,8,8,1,resources/t1Model-M.png,"0.72549, 0.51373, 0.4","0.65098, 0.35294, 0.25098","0.78605, 0.55541, 0.43138","0.68985, 0.4335, 0.3243","0.6843, 0.46832, 0.35448","0.71971, 0.45365, 0.33937","0.73744, 0.47932, 0.37149","0.71412, 0.48874, 0.36979",What is the color of the previous image?,2022-03-04_11h12.19.049,Representative Color,2021.2.3,MacIntel,38.46153846,,,,,,
,,,,,,,,-0.16875,-0.066071429,1,0,0,1.352,fifthChoice,4,"0.52414, 0.27049, 0.13884",2,0,9,9,5,1,resources/t1Model-J.png,"0.74118, 0.41961, 0.23529","0.52414, 0.27049, 0.13884","0.79714, 0.44966, 0.25005","0.63529, 0.38824, 0.21569","0.70588, 0.43922, 0.2549","0.64314, 0.33725, 0.18431","0.56863, 0.32157, 0.19216","0.4549, 0.23137, 0.12157",What is the color of the previous image?,2022-03-04_11h12.19.049,Representative Color,2021.2.3,MacIntel,38.46153846,,,,,,
,,,,,,,,-0.0625,0.175,1,0,0,3.722,firstChoice,0,"0.48425, 0.24604, 0.13103",2,0,10,10,14,1,resources/t1Model-yl.png,"0.43529, 0.22353, 0.12157","0.48425, 0.24604, 0.13103","0.74365, 0.40389, 0.19507","0.56078, 0.26667, 0.1451","0.35294, 0.16078, 0.070588","0.6, 0.35294, 0.22353","0.55294, 0.31373, 0.19216","0.30588, 0.12549, 0.043137",What is the color of the previous image?,2022-03-04_11h12.19.049,Representative Color,2021.2.3,MacIntel,38.46153846,,,,,,
,,,,,,,,-0.169642857,-0.046428571,1,0,0,2.873,fifthChoice,4,"0.16863, 0.027451, 0.035294",1,0,11,11,1,1,resources/t1DSC_0021.png,"0.16863, 0.027451, 0.035294","0.34118, 0.023529, 0.05098","0.37836, 0.0080068, 0.055199","0.37255, 0.12157, 0.18431","0.34902, 0.043137, 0.094118","0.41569, 0.23529, 0.29804","0.21569, 0.0078431, 0.019608","0.44314, 0.16863, 0.21961",What is the color of the previous image?,2022-03-04_11h12.19.049,Representative Color,2021.2.3,MacIntel,38.46153846,,,,,,
,,,,,,,,0.035714286,0.146428571,1,0,0,1.581,secondChoice,1,"0.75045, 0.43076, 0.25995",3,0,12,12,10,1,resources/t1Model-Ol.png,"0.69412, 0.47451, 0.35294","0.7537, 0.51393, 0.381","0.75045, 0.43076, 0.25995","0.56863, 0.2902, 0.18039","0.52941, 0.28235, 0.15294","0.69412, 0.4, 0.24314","0.79608, 0.58039, 0.45098","0.58431, 0.37255, 0.24706",What is the color of the previous image?,2022-03-04_11h12.19.049,Representative Color,2021.2.3,MacIntel,38.46153846,,,,,,
,,,,,,,,0.06875,0.164285714,1,0,0,0.846,secondChoice,1,"0.66468, 0.4273, 0.28886",3,0,13,13,3,1,resources/t1Model-A.png,"0.60784, 0.39216, 0.26667","0.59216, 0.31765, 0.21569","0.66468, 0.4273, 0.28886","0.64755, 0.3451, 0.23286","0.72157, 0.47059, 0.33333","0.42353, 0.18824, 0.094118","0.50588, 0.29804, 0.19608","0.56078, 0.3451, 0.23529",What is the color of the previous image?,2022-03-04_11h12.19.049,Representative Color,2021.2.3,MacIntel,38.46153846,,,,,,
